Feature,Importance
head_to_head_goal_diff,-0.39085760955550863
home_team_Brazil,-0.38716656070345357
away_team_Bolivia,-0.30860140920011
home_team_Argentina,-0.28711979935296467
home_team_Bolivia,0.23956333835822385
home_team_Venezuela,0.228991266157347
home_team_avg_scored,0.18908277165116277
home_team_Peru,0.17099571595437082
away_team_Brazil,0.15795837005120797
home_team_avg_conceded,-0.12735733670180036
away_team_Argentina,0.11221586212290527
home_team_Paraguay,0.09870560081476926
away_team_avg_scored,0.09204230355106517
home_team_Chile,0.07114836951755273
away_team_Uruguay,0.0693227394478092
home_team_Ecuador,-0.06048708673771235
home_team_Uruguay,-0.04829525075324265
away_team_avg_conceded,-0.0363798309114746
away_team_Chile,0.032834776787517526
home_team_Colombia,-0.016505176517791015
away_team_Paraguay,-0.015256526339005127
away_team_Colombia,-0.009021566605616507
away_team_Venezuela,0.0067299382303656575
away_team_Peru,-0.0058690069256009504
away_team_Ecuador,-0.004285813806582084
home_team_confederation_CONMEBOL,0.0
away_team_confederation_CONMEBOL,0.0
