Feature,Importance
head_to_head_goal_diff,0.16324017886978268
away_team_avg_scored,0.14250735025043226
away_team_avg_conceded,0.1335612883148343
home_team_avg_scored,0.11880754267929128
home_team_avg_conceded,0.11001367406404249
away_team_Bolivia,0.0384426048565091
away_team_Brazil,0.03022463331951968
away_team_Uruguay,0.02625853378810341
home_team_Peru,0.023814110685640825
away_team_Colombia,0.023812397509221744
home_team_Venezuela,0.021887207421426507
home_team_Bolivia,0.01965097430289017
away_team_Argentina,0.018740520160996713
away_team_Peru,0.01592865370366607
home_team_Argentina,0.014378361203510591
home_team_Brazil,0.012321762837353239
away_team_Ecuador,0.012148596572117868
home_team_Paraguay,0.011056088991892591
home_team_Chile,0.0101335189521422
away_team_Chile,0.010081894717096994
away_team_Paraguay,0.00941921462996451
home_team_Ecuador,0.009278677327956737
home_team_Uruguay,0.009256628119301516
away_team_Venezuela,0.00816422054247066
home_team_Colombia,0.006871366179835817
home_team_confederation_CONMEBOL,0.0
away_team_confederation_CONMEBOL,0.0
