date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_confederation,away_team_confederation,home_team_fifa_rank,home_team_fifa_points,away_team_fifa_rank,away_team_fifa_points
2026-03-26,Bolivia,Suriname,2,1,FIFA World Cup qualification,Monterrey,Mexico,True,CONMEBOL,CONCACAF,,,,
2026-03-27,New Caledonia,Jamaica,0,1,FIFA World Cup qualification,Guadalajara,Mexico,True,OFC,CONCACAF,,,,
