uefa_season_year,home_team_uefa_overall_coefficient,home_team_uefa_season_coefficient,away_team_uefa_overall_coefficient,away_team_uefa_season_coefficient,away_team_uefa_season_rank,home_uefa_missing,away_uefa_missing,uefa_overall_coefficient_diff,uefa_season_coefficient_diff,uefa_season_rank_diff,home_country_uefa_overall_rank,home_country_uefa_season_rank,away_overall_country_coefficient,away_season_country_coefficient,away_country_uefa_overall_rank,away_country_uefa_season_rank,country_uefa_missing,country_overall_coefficient_diff,country_season_rank_diff,overall_country_coefficient,season_country_coefficient,country_uefa_season_rank,head_to_head_goal_diff,home_pre_elo,away_pre_elo,elo_diff,home_form_goals_for_5,home_form_win_rate_5,home_form_draw_rate_5,home_form_loss_rate_5,home_form_fail_to_score_rate_5,home_form_btts_rate_5,home_form_points_10,home_form_win_rate_10,away_form_points_5,away_form_win_rate_5,away_form_fail_to_score_rate_5,away_form_btts_rate_5,away_form_goals_for_10,away_form_goals_against_10,away_form_loss_rate_10,away_form_clean_sheet_rate_10,away_form_fail_to_score_rate_10,away_form_btts_rate_10,home_team_home_form_goals_for_5,home_team_home_form_points_5,away_team_away_form_goals_against_5,away_team_away_form_points_5,away_team_away_form_goals_for_10,away_team_away_form_goals_against_10,away_team_away_form_points_10,venue_form_points_diff_5,venue_form_points_diff_10,home_rest_days,away_rest_days,rest_days_diff,is_knockout_round
1991,33.006,10.0,33.006,10.0,44.0,1,1,0.0,0.0,0.0,5.0,5.0,53.678,11.0,5.0,5.0,1,0.0,0.0,53.678,11.0,5.0,0.0,1509.3540535333104,1519.6748122314486,-10.320758698138206,2.5,0.5,0.5,0.0,0.0,0.5,2.0,0.5,3.0,1.0,0.0,0.5,6.5,0.5,0.0,0.5,0.0,0.5,4.0,3.0,1.0,3.0,8.0,1.0,3.0,0.0,0.0,21.0,21.0,0.0,0
1991,33.006,10.0,33.006,10.0,44.0,1,1,0.0,0.0,0.0,5.0,5.0,53.678,11.0,5.0,5.0,1,0.0,0.0,53.678,11.0,5.0,0.0,1519.7674660913337,1509.3540535333104,10.41341255802331,3.0,1.0,0.0,0.0,0.0,0.5,3.0,1.0,2.0,0.5,0.0,1.0,2.5,2.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,21.0,21.0,0.0,0
1991,33.006,10.0,33.006,10.0,44.0,1,1,0.0,0.0,0.0,5.0,5.0,53.678,11.0,5.0,5.0,1,0.0,0.0,53.678,11.0,5.0,0.0,1500.0,1510.095392127625,-10.095392127625018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.5,1.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,7.0,21.0,-14.0,0
1991,33.006,10.0,33.006,10.0,44.0,1,1,0.0,0.0,0.0,5.0,5.0,53.678,11.0,5.0,5.0,1,0.0,0.0,53.678,11.0,5.0,0.0,1519.3540535333104,1519.5332872100776,-0.17923367676712587,2.5,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,21.0,21.0,0.0,0
1991,33.006,10.0,33.006,10.0,44.0,1,1,0.0,0.0,0.0,5.0,5.0,53.678,11.0,5.0,5.0,1,0.0,0.0,53.678,11.0,5.0,0.0,1519.5332872100776,1519.3540535333104,0.17923367676712587,5.0,1.0,0.0,0.0,0.0,0.5,3.0,1.0,3.0,1.0,0.0,0.5,3.5,0.5,0.0,0.5,0.0,0.5,6.0,3.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0,22.0,21.0,1.0,0
1991,33.006,10.0,33.006,10.0,44.0,1,1,0.0,0.0,0.0,5.0,5.0,53.678,11.0,5.0,5.0,1,0.0,0.0,53.678,11.0,5.0,0.0,1509.904607872375,1508.2900264265638,1.6145814458111545,2.5,0.5,0.5,0.0,0.0,1.0,2.0,0.5,3.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,0.0,3.0,-2.0,-2.0,21.0,35.0,-14.0,0
1991,33.006,10.0,33.006,10.0,44.0,1,1,0.0,0.0,0.0,5.0,5.0,53.678,11.0,5.0,5.0,1,0.0,0.0,53.678,11.0,5.0,0.0,1519.3540535333104,1509.3540535333104,10.0,2.5,1.0,0.0,0.0,0.0,0.5,3.0,1.0,2.0,0.5,0.5,0.5,2.5,0.5,0.0,0.5,0.5,0.5,3.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,22.0,22.0,0.0,0
1991,33.006,10.0,33.006,10.0,44.0,1,1,0.0,0.0,0.0,5.0,5.0,53.678,11.0,5.0,5.0,1,0.0,0.0,53.678,11.0,5.0,-4.0,1489.4681213477174,1530.7111123290497,-41.24299098133224,1.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.3333333333333333,3.0,1.0,0.0,0.3333333333333333,3.6666666666666665,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,3.0,3.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0,14.0,14.0,0.0,0
1991,33.006,10.0,33.006,10.0,44.0,1,1,0.0,0.0,0.0,5.0,5.0,53.678,11.0,5.0,5.0,1,0.0,0.0,53.678,11.0,5.0,0.0,1508.10481923461,1501.990572893015,6.114246341594935,1.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,14.0,14.0,0.0,0
1991,33.006,10.0,33.006,10.0,44.0,1,1,0.0,0.0,0.0,5.0,5.0,53.678,11.0,5.0,5.0,1,0.0,0.0,53.678,11.0,5.0,-8.0,1507.649088318502,1531.238252424886,-23.589164106384032,2.6666666666666665,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,2.0,0.6666666666666666,3.0,1.0,0.0,0.6666666666666666,6.333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,5.0,3.0,1.0,3.0,4.0,1.0,3.0,0.0,0.0,14.0,14.0,0.0,0
1991,33.006,10.0,33.006,10.0,44.0,1,1,0.0,0.0,0.0,5.0,5.0,53.678,11.0,5.0,5.0,1,0.0,0.0,53.678,11.0,5.0,-1.0,1497.9247911851428,1530.783315881478,-32.85852469633528,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,3.0,1.0,0.0,0.6666666666666666,2.6666666666666665,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666,5.0,3.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0,13.0,13.0,0.0,0
1991,33.006,10.0,33.006,10.0,44.0,1,1,0.0,0.0,0.0,5.0,5.0,53.678,11.0,5.0,5.0,1,0.0,0.0,53.678,11.0,5.0,0.0,1517.6780105948742,1511.3508551698849,6.327155424989314,4.333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,5.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,14.0,14.0,0.0,0
1991,33.006,10.0,33.006,10.0,44.0,1,1,0.0,0.0,0.0,5.0,5.0,53.678,11.0,5.0,5.0,1,0.0,0.0,53.678,11.0,5.0,0.0,1511.7099735734362,1521.5694333322322,-9.859459758795992,6.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.3333333333333335,0.6666666666666666,0.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,6.0,3.0,1.0,3.0,4.0,1.0,3.0,0.0,0.0,35.0,14.0,21.0,0
1991,33.006,10.0,33.006,10.0,44.0,1,1,0.0,0.0,0.0,5.0,5.0,53.678,11.0,5.0,5.0,1,0.0,0.0,53.678,11.0,5.0,0.0,1537.8768767808872,1529.2106663426991,8.666210438188045,3.5,1.0,0.0,0.0,0.0,0.25,3.0,1.0,2.5,0.75,0.25,0.25,4.25,0.25,0.0,0.75,0.25,0.25,4.0,3.0,0.5,2.0,4.0,0.5,2.0,1.0,1.0,120.0,119.0,1.0,0
1991,33.006,10.0,33.006,10.0,44.0,1,1,0.0,0.0,0.0,5.0,5.0,53.678,11.0,5.0,5.0,1,0.0,0.0,53.678,11.0,5.0,0.0,1510.451933641056,1510.5356029348281,-0.08366929377211818,0.5,0.5,0.5,0.0,0.5,0.0,2.0,0.5,1.75,0.5,0.25,0.75,3.25,1.25,0.25,0.25,0.25,0.75,0.0,1.0,1.5,0.5,1.0,1.5,0.5,0.5,0.5,119.0,119.0,0.0,0
