ranking,team,squad_size,avg_age,total_value,confederation,points
116,Zimbabwe,23,28.6,€30.30m,CAF,1161
117,Libya,30,28.4,€1.18m,CAF,1155
118,North Korea,30,25.1,€6.43m,AFC,1153
119,Azerbaijan,31,26.4,€18.35m,UEFA,1151
120,Togo,24,26.9,€30.56m,CAF,1149
121,Estonia,25,26.3,€11.53m,UEFA,1144
122,Niger,24,27.8,€9.10m,CAF,1143
123,Indonesia,32,26.3,€37.50m,AFC,1143
124,Sierra Leone,24,24.8,€6.30m,CAF,1140
125,Republic of the Congo,-,0,-,CAF,1136
126,The Gambia,24,26.2,€57.60m,CAF,1133
127,India,23,27.6,€5.15m,AFC,1132
128,Guinea-Bissau,24,26.2,€39.45m,CAF,1128
129,Cyprus,25,26.9,€19.25m,UEFA,1128
130,Rwanda,27,25.9,€4.95m,CAF,1127
131,Malaysia,26,28.7,€7.88m,AFC,1124
132,Malawi,28,26.1,€1.13m,CAF,1118
133,Nicaragua,24,27,€3.18m,CONCACAF,1114
134,Kuwait,27,28.6,€6.13m,AFC,1112
135,Central African Republic,25,25.8,€13.85m,CAF,1102
136,Botswana,26,28.9,€2.05m,CAF,1101
137,Suriname,23,25.9,€16.33m,CONCACAF,1097
138,Latvia,25,26.6,€10.00m,UEFA,1092
139,Dominican Republic,23,25.8,€21.25m,CONCACAF,1087
140,Burundi,26,25.8,€16.45m,CAF,1086
141,Faroe Islands,23,27.5,€4.70m,UEFA,1085
142,Turkmenistan,23,26.9,€2.73m,AFC,1076
143,Lithuania,23,26.4,€16.48m,UEFA,1073
144,Liberia,24,24.1,€20.88m,CAF,1068
145,Saint Kitts and Nevis,22,27.4,€475k,CONCACAF,1065
146,Philippines,23,25.8,€4.45m,AFC,1063
147,Ethiopia,24,25.8,€300k,CAF,1061
148,Lesotho,22,29.4,€400k,CAF,1046
149,Solomon Islands,22,25.9,€925k,OFC,1046
150,Fiji,23,28.6,€2.48m,OFC,1043
151,New Caledonia,23,27.6,€250k,OFC,1040
