head_to_head_goal_diff,home_team_avg_scored,home_team_avg_conceded,away_team_avg_scored,away_team_avg_conceded,home_team_Argentina,home_team_Bolivia,home_team_Brazil,home_team_Chile,home_team_Colombia,home_team_Ecuador,home_team_Paraguay,home_team_Peru,home_team_Uruguay,home_team_Venezuela,away_team_Argentina,away_team_Bolivia,away_team_Brazil,away_team_Chile,away_team_Colombia,away_team_Ecuador,away_team_Paraguay,away_team_Peru,away_team_Uruguay,away_team_Venezuela,home_team_confederation_CONMEBOL,away_team_confederation_CONMEBOL
1.3333333333333333,1.0,1.0,0.3333333333333333,2.1666666666666665,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
1.3,0.8,0.8,0.8,1.6,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True
0.6923076923076923,2.0,0.4,0.8,1.2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True
1.0,1.4,0.2,1.6,1.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
0.5,2.0,0.6,0.2,2.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
0.9333333333333333,1.4,1.0,0.4,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
1.5,1.3333333333333333,0.16666666666666666,0.8333333333333334,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
0.5,0.8333333333333334,2.6666666666666665,0.6,0.4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True
2.0,0.6,0.2,2.4,1.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
0.46153846153846156,2.6,0.8,0.6,1.8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
0.4090909090909091,2.8,0.6,0.8333333333333334,1.8333333333333333,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
0.2,1.1666666666666667,0.8333333333333334,1.0,2.6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
0.3333333333333333,2.5,0.5,0.8333333333333334,0.6666666666666666,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
1.736842105263158,1.0,0.6666666666666666,0.16666666666666666,2.8333333333333335,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
-0.07692307692307693,1.6666666666666667,0.5,1.3333333333333333,1.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True
0.75,1.0,2.5714285714285716,0.5,0.8333333333333334,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True
0.4,1.1666666666666667,1.0,0.2857142857142857,2.142857142857143,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
1.1666666666666667,2.3333333333333335,0.8333333333333334,0.8571428571428571,1.1428571428571428,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
0.2222222222222222,1.4285714285714286,0.2857142857142857,2.5,1.3333333333333333,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
