date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_confederation,home_team_ranking,away_team_confederation,away_team_ranking
1947-12-18,Argentina,Colombia,6,0,Copa América,Guayaquil,Ecuador,True,CONMEBOL,1886.0,CONMEBOL,1679.0
1947-12-28,Argentina,Uruguay,3,1,Copa América,Guayaquil,Ecuador,True,CONMEBOL,1886.0,CONMEBOL,1679.0
1948-04-04,France,Italy,1,3,Friendly,Colombes,France,False,UEFA,1853.0,UEFA,1718.0
1948-04-04,Uruguay,Brazil,1,1,Copa Rio Branco,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1776.0
1948-04-11,Uruguay,Brazil,4,2,Copa Rio Branco,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1776.0
1949-03-27,Spain,Italy,1,3,Friendly,Madrid,Spain,False,UEFA,1855.0,UEFA,1718.0
1949-04-17,Brazil,Colombia,5,0,Copa América,São Paulo,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1679.0
1949-04-25,Uruguay,Colombia,2,2,Copa América,São Paulo,Brazil,True,CONMEBOL,1679.0,CONMEBOL,1679.0
1949-04-30,Brazil,Uruguay,5,1,Copa América,Rio de Janeiro,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1679.0
1949-06-19,France,Spain,1,5,Friendly,Colombes,France,False,UEFA,1853.0,UEFA,1855.0
1950-05-06,Brazil,Uruguay,3,4,Copa Rio Branco,São Paulo,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1679.0
1950-05-14,Brazil,Uruguay,3,2,Copa Rio Branco,Rio de Janeiro,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1679.0
1950-06-24,Brazil,Mexico,4,0,FIFA World Cup,Rio de Janeiro,Brazil,False,CONMEBOL,1776.0,CONCACAF,1647.0
