date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_confederation,home_team_ranking,away_team_confederation,away_team_ranking
1920-07-25,Argentina,Uruguay,1,3,Copa Newton,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1920-08-08,Argentina,Uruguay,1,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1920-08-29,France,Italy,3,1,Olympic Games,Antwerp,Belgium,True,UEFA,1853.0,UEFA,1718.0
1920-09-02,Spain,Italy,2,0,Olympic Games,Antwerp,Belgium,True,UEFA,1855.0,UEFA,1718.0
1920-09-12,Uruguay,Argentina,1,1,Copa América,Viña del Mar,Chile,True,CONMEBOL,1679.0,CONMEBOL,1886.0
1920-09-18,Brazil,Uruguay,0,6,Copa América,Viña del Mar,Chile,True,CONMEBOL,1776.0,CONMEBOL,1679.0
1920-09-25,Argentina,Brazil,2,0,Copa América,Viña del Mar,Chile,True,CONMEBOL,1886.0,CONMEBOL,1776.0
1921-02-20,France,Italy,1,2,Friendly,Marseille,France,False,UEFA,1853.0,UEFA,1718.0
1921-10-02,Argentina,Brazil,1,0,Copa América,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1776.0
1921-10-23,Brazil,Uruguay,1,2,Copa América,Buenos Aires,Argentina,True,CONMEBOL,1776.0,CONMEBOL,1679.0
1921-10-30,Argentina,Uruguay,1,0,Copa América,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1922-04-30,France,Spain,0,4,Friendly,Le Bouscat,France,False,UEFA,1853.0,UEFA,1855.0
1922-10-01,Brazil,Uruguay,0,0,Copa América,Rio de Janeiro,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1679.0
1922-10-08,Argentina,Uruguay,0,1,Copa América,Rio de Janeiro,Brazil,True,CONMEBOL,1886.0,CONMEBOL,1679.0
1922-10-15,Brazil,Argentina,2,0,Copa América,Rio de Janeiro,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1886.0
1922-10-22,Brazil,Argentina,2,1,Copa Roca,São Paulo,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1886.0
1922-11-12,Uruguay,Argentina,1,0,Copa Lipton,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1922-12-10,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1922-12-17,Argentina,Uruguay,2,2,Copa Newton,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1923-01-01,Italy,Germany,3,1,Friendly,Milan,Italy,False,UEFA,1718.0,UEFA,1717.0
1923-01-28,Spain,France,3,0,Friendly,San Sebastián,Spain,False,UEFA,1855.0,UEFA,1853.0
1923-06-24,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1923-07-15,Argentina,Uruguay,2,2,Friendly,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1923-07-22,Uruguay,Argentina,2,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1923-09-30,Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1923-11-18,Argentina,Brazil,2,1,Copa América,Montevideo,Uruguay,True,CONMEBOL,1886.0,CONMEBOL,1776.0
1923-11-25,Uruguay,Brazil,2,1,Copa América,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1776.0
1923-12-02,Argentina,Brazil,0,2,Friendly,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1776.0
1923-12-02,Uruguay,Argentina,2,0,Copa América,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1923-12-09,Argentina,Brazil,2,0,Copa Roca,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1776.0
1924-03-09,Italy,Spain,0,0,Friendly,Milan,Italy,False,UEFA,1718.0,UEFA,1855.0
1924-05-25,Argentina,Uruguay,4,0,Copa Newton,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1924-05-25,Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1924-05-25,Italy,Spain,1,0,Olympic Games,Colombes,France,True,UEFA,1718.0,UEFA,1855.0
1924-06-01,France,Uruguay,1,5,Olympic Games,Colombes,France,False,UEFA,1853.0,CONMEBOL,1679.0
1924-09-21,Uruguay,Argentina,1,1,Friendly,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1924-10-02,Argentina,Uruguay,2,1,Friendly,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1924-11-02,Uruguay,Argentina,0,0,Copa América,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1924-11-23,Germany,Italy,0,1,Friendly,Duisburg,Germany,False,UEFA,1717.0,UEFA,1718.0
1925-03-22,Italy,France,7,0,Friendly,Turin,Italy,False,UEFA,1718.0,UEFA,1853.0
1925-06-14,Spain,Italy,1,0,Friendly,Valencia,Spain,False,UEFA,1855.0,UEFA,1718.0
1925-12-13,Argentina,Brazil,4,1,Copa América,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1776.0
1925-12-25,Argentina,Brazil,2,2,Copa América,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1776.0
1926-10-24,Argentina,Uruguay,0,2,Copa América,Santiago,Chile,True,CONMEBOL,1886.0,CONMEBOL,1679.0
1927-04-24,France,Italy,3,3,Friendly,Colombes,France,False,UEFA,1853.0,UEFA,1718.0
1927-05-22,France,Spain,1,4,Friendly,Colombes,France,False,UEFA,1853.0,UEFA,1855.0
1927-05-29,Italy,Spain,2,0,Friendly,Bologna,Italy,False,UEFA,1718.0,UEFA,1855.0
1927-07-14,Uruguay,Argentina,0,1,Copa Newton,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1927-08-30,Argentina,Uruguay,0,1,Copa Lipton,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1927-11-20,Argentina,Uruguay,3,2,Copa América,Lima,Peru,True,CONMEBOL,1886.0,CONMEBOL,1679.0
1928-04-22,Spain,Italy,1,1,Friendly,Gijón,Spain,False,UEFA,1855.0,UEFA,1718.0
1928-05-29,Italy,France,4,3,Olympic Games,Amsterdam,Netherlands,True,UEFA,1718.0,UEFA,1853.0
1928-05-30,Spain,Mexico,7,1,Olympic Games,Amsterdam,Netherlands,True,UEFA,1855.0,CONCACAF,1647.0
1928-06-01,Italy,Spain,1,1,Olympic Games,Amsterdam,Netherlands,True,UEFA,1718.0,UEFA,1855.0
1928-06-03,Uruguay,Germany,4,1,Olympic Games,Amsterdam,Netherlands,True,CONMEBOL,1679.0,UEFA,1717.0
1928-06-04,Italy,Spain,7,1,Olympic Games,Amsterdam,Netherlands,True,UEFA,1718.0,UEFA,1855.0
1928-06-07,Uruguay,Italy,3,2,Olympic Games,Amsterdam,Netherlands,True,CONMEBOL,1679.0,UEFA,1718.0
1928-06-10,Uruguay,Argentina,1,1,Olympic Games,Amsterdam,Netherlands,True,CONMEBOL,1679.0,CONMEBOL,1886.0
1928-06-13,Uruguay,Argentina,2,1,Olympic Games,Amsterdam,Netherlands,True,CONMEBOL,1679.0,CONMEBOL,1886.0
1928-08-30,Argentina,Uruguay,1,0,Copa Newton,Avellaneda,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1928-09-21,Uruguay,Argentina,2,2,Copa Lipton,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1929-04-14,Spain,France,8,1,Friendly,Zaragoza,Spain,False,UEFA,1855.0,UEFA,1853.0
1929-04-28,Italy,Germany,1,2,Friendly,Turin,Italy,False,UEFA,1718.0,UEFA,1717.0
1929-06-16,Argentina,Uruguay,2,0,Friendly,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1929-06-16,Uruguay,Argentina,1,1,Friendly,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1929-09-20,Uruguay,Argentina,2,1,Copa Newton,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1929-09-28,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1929-11-17,Argentina,Uruguay,2,0,Copa América,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1930-03-02,Germany,Italy,0,2,Friendly,Frankfurt am Main,Germany,False,UEFA,1717.0,UEFA,1718.0
1930-05-25,Argentina,Uruguay,1,1,Copa Newton,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1930-06-22,Italy,Spain,2,3,Friendly,Bologna,Italy,False,UEFA,1718.0,UEFA,1855.0
